entry_id,tanggal_raw,tanggal,tahun,bulan,presisi_tanggal,provinsi,kabupaten_kota,lokasi_raw,jumlah_raw,jumlah_dilaporkan,status_angka,jumlah_baris_html,jumlah_sel_angka,source_url,source_urls_json,masalah_rujukan,status_audit,masuk_analisis_utama,alasan_eksklusi,snapshot_revision,diakses_pada
W29876794-r526c6,2 Oktober 2024,2024-10-02,2024,10,tanggal,Jawa Timur,Nganjuk,SDN Banaran I,7 Siswa,7,angka_literal,1,1,https://www.ntthits.com/politik/57715026614/rentetan-kasus-keracunan-mbg-di-berbagai-daerah-program-bergizi-yang-kini-dikhawatirkan,"[""https://www.ntthits.com/politik/57715026614/rentetan-kasus-keracunan-mbg-di-berbagai-daerah-program-bergizi-yang-kini-dikhawatirkan""]",,belum_diperiksa_individual,False,di_luar_periode_2025_2026; sebelum_peluncuran_nasional,29876794,2026-09-18
W29876794-r164c6,13 Januari 2025,2025-01-13,2025,1,tanggal,Kalimantan Utara,Nunukan,SMAN 2 Nunukan Selatan,> 30 Siswa,,batas_bukan_angka_pasti,1,1,https://regional.kompas.com/read/2025/01/19/094801178/siswa-sma-di-nunukan-juga-keracunan-mbg-lauk-tongkol-berulat,"[""https://regional.kompas.com/read/2025/01/19/094801178/siswa-sma-di-nunukan-juga-keracunan-mbg-lauk-tongkol-berulat"", ""https://web.archive.org/web/20250505070755/https://regional.kompas.com/read/2025/01/19/094801178/siswa-sma-di-nunukan-juga-keracunan-mbg-lauk-tongkol-berulat""]",,belum_diperiksa_individual,False,batas_bukan_angka_pasti,29876794,2026-09-18
W29876794-r111c6,15 Juli 2025,2025-07-15,2025,7,tanggal,Lampung,Lampung Utara,SD Soekarno Hatta | SD IT Insan Rhobani,Puluhan Siswa,,kualitatif,2,1,https://www.cakralampung.com/2025/07/15/siswa-sd-di-lampung-utara-keracunan-usai-santap-mbg/,"[""https://www.cakralampung.com/2025/07/15/siswa-sd-di-lampung-utara-keracunan-usai-santap-mbg/""]",,belum_diperiksa_individual,False,kualitatif,29876794,2026-09-18
W29876794-r257c6,31 Juli 2025,2025-07-31,2025,7,tanggal,Jawa Barat,Kuningan,SMPN 1 Cilimus,± 30 Siswa,,perkiraan,1,1,https://kuninganmass.com/setelah-makan-siang-gratis-puluhan-siswa-smpn-1-cilimus-sakit-perut/,"[""https://kuninganmass.com/setelah-makan-siang-gratis-puluhan-siswa-smpn-1-cilimus-sakit-perut/""]",,belum_diperiksa_individual,False,perkiraan,29876794,2026-09-18
W29876794-r262c6,6 Agustus 2025,2025-08-06,2025,8,tanggal,Jawa Barat,Sukabumi,SDN Puncak Batu | MI Cikadu | PAUD di Desa Cipamingkis | TBA (tidak disebutkan),± 32 Siswa,,perkiraan,4,1,https://www.detik.com/jabar/berita/d-8049711/32-pelajar-sukabumi-keracunan-sampel-makanan-dikirim-ke-lab,"[""https://www.detik.com/jabar/berita/d-8049711/32-pelajar-sukabumi-keracunan-sampel-makanan-dikirim-ke-lab""]",,belum_diperiksa_individual,False,perkiraan,29876794,2026-09-18
W29876794-r664c6,19 Agustus 2025,2025-08-19,2025,8,tanggal,Nusa Tenggara Barat,Lombok Timur,SMK Karya Adi Husada,Belasan Siswa,,kualitatif,1,1,https://radarlombok.co.id/siswa-smk-diduga-keracunan-usai-santap-mbg.html,"[""https://radarlombok.co.id/siswa-smk-diduga-keracunan-usai-santap-mbg.html""]",,belum_diperiksa_individual,False,kualitatif,29876794,2026-09-18
W29876794-r747c6,27 Agustus 2025,2025-08-27,2025,8,tanggal,Sulawesi Tengah,Kota Palu,MTs Sis Al-Jufri Tatura | SMK Bina Potensi,45 Siswa | > 100 Siswa,,batas_bukan_angka_pasti,2,2,https://manado.antaranews.com/berita/292405/18-pelajar-diduga-keracunan-mbg-dirawat-di-rs-bala-keselamatan,"[""https://manado.antaranews.com/berita/292405/18-pelajar-diduga-keracunan-mbg-dirawat-di-rs-bala-keselamatan""]",,belum_diperiksa_individual,False,batas_bukan_angka_pasti,29876794,2026-09-18
W29876794-r138c6,4 September 2025,2025-09-04,2025,9,tanggal,Lampung,Kota Metro,TBA( Tidak Disebutkan),12 Siswa,12,angka_literal,1,1,https://radarlampung.co.id,"[""https://radarlampung.co.id"", ""https://radarlampung.disway.id/read/716610/sikapi-kasus-keracunan-siswa-mbg-wagub-jihan-kuota-dapur-terlalu-besar-perlu-dievaluasi"", ""https://radarlampung.co.id/""]",rujukan_hanya_beranda,belum_diperiksa_individual,False,rujukan_hanya_beranda,29876794,2026-09-18
W29876794-r198c6,8 September 2025,2025-09-08,2025,9,tanggal,DKI Jakarta,Jakarta Utara,SMPN 277 Jakarta,Puluhan Siswa,,kualitatif,1,1,https://www.tempo.co/politik/keracunan-makan-bergizi-gratis-2073995,"[""https://www.tempo.co/politik/keracunan-makan-bergizi-gratis-2073995""]",,belum_diperiksa_individual,False,kualitatif,29876794,2026-09-18
W29876794-r788c6,11 September 2025,2025-09-11,2025,9,tanggal,Sulawesi Tenggara,Buton,SDN 55 Buton,Puluhan Siswa,,kualitatif,1,1,https://www.halosultra.com/sultra-raya/buton/50849/puluhan-siswa-sd-di-buton-keracunan-makanan-mbg-wabup-minta-evaluasi-program/,"[""https://www.halosultra.com/sultra-raya/buton/50849/puluhan-siswa-sd-di-buton-keracunan-makanan-mbg-wabup-minta-evaluasi-program/""]",,belum_diperiksa_individual,False,kualitatif,29876794,2026-09-18
