sekolah,waktu_belajar,absensi,nilai_periode1,nilai_periode2,nilai_akhir
GP,2–5 jam,4,0,55,55
GP,2–5 jam,2,45,55,55
GP,2–5 jam,6,60,65,60
GP,5–10 jam,0,70,70,70
GP,2–5 jam,0,55,65,65
GP,2–5 jam,6,60,60,65
GP,2–5 jam,0,65,60,65
GP,2–5 jam,2,50,65,65
GP,2–5 jam,0,75,80,85
GP,2–5 jam,0,60,60,65
GP,2–5 jam,2,70,70,70
GP,5–10 jam,0,50,60,65
GP,<2 jam,0,60,65,60
GP,2–5 jam,0,60,60,65
GP,5–10 jam,0,70,70,75
GP,<2 jam,6,85,85,85
GP,5–10 jam,10,65,65,70
GP,2–5 jam,2,65,70,70
GP,<2 jam,2,40,40,35
GP,<2 jam,6,60,60,60
GP,2–5 jam,0,60,65,70
GP,<2 jam,0,55,60,60
GP,2–5 jam,0,60,65,70
GP,2–5 jam,2,50,50,50
GP,5–10 jam,2,50,55,50
GP,<2 jam,6,50,55,60
GP,<2 jam,8,55,60,60
GP,<2 jam,0,55,55,55
GP,2–5 jam,2,60,60,65
GP,2–5 jam,4,60,55,60
GP,2–5 jam,0,50,55,55
GP,2–5 jam,2,75,75,75
GP,2–5 jam,0,65,70,75
GP,2–5 jam,0,65,60,60
GP,<2 jam,4,60,60,60
GP,<2 jam,4,55,55,55
GP,5–10 jam,0,70,70,70
GP,5–10 jam,4,65,65,65
GP,5–10 jam,2,55,60,60
GP,<2 jam,8,70,65,60
GP,2–5 jam,16,55,55,50
GP,<2 jam,8,50,55,55
GP,2–5 jam,0,70,75,75
GP,<2 jam,0,45,50,50
GP,2–5 jam,14,50,55,55
GP,2–5 jam,4,50,55,55
GP,2–5 jam,6,65,60,65
GP,>10 jam,2,85,85,85
GP,2–5 jam,4,55,60,65
GP,2–5 jam,2,65,60,60
GP,2–5 jam,0,70,65,65
GP,2–5 jam,0,80,70,80
GP,<2 jam,4,50,45,45
GP,<2 jam,0,65,60,60
GP,<2 jam,0,65,60,65
GP,2–5 jam,2,60,65,60
GP,2–5 jam,0,75,70,75
GP,2–5 jam,8,75,75,80
GP,2–5 jam,0,70,65,70
GP,2–5 jam,2,80,75,80
GP,2–5 jam,0,85,80,80
GP,<2 jam,0,50,50,80
GP,2–5 jam,0,65,65,50
GP,5–10 jam,0,70,65,65
GP,2–5 jam,0,65,60,60
GP,2–5 jam,2,80,75,80
GP,>10 jam,0,55,60,60
GP,>10 jam,0,50,45,50
GP,2–5 jam,0,55,50,55
GP,>10 jam,6,75,75,75
