entry_id,tanggal_raw,tanggal,tahun,bulan,presisi_tanggal,provinsi,kabupaten_kota,lokasi_raw,jumlah_raw,jumlah_dilaporkan,status_angka,jumlah_baris_html,jumlah_sel_angka,source_url,source_urls_json,masalah_rujukan,status_audit,masuk_analisis_utama,alasan_eksklusi,snapshot_revision,diakses_pada
W29876794-r526c6,2 Oktober 2024,2024-10-02,2024,10,tanggal,Jawa Timur,Nganjuk,SDN Banaran I,7 Siswa,7,angka_literal,1,1,https://www.ntthits.com/politik/57715026614/rentetan-kasus-keracunan-mbg-di-berbagai-daerah-program-bergizi-yang-kini-dikhawatirkan,"[""https://www.ntthits.com/politik/57715026614/rentetan-kasus-keracunan-mbg-di-berbagai-daerah-program-bergizi-yang-kini-dikhawatirkan""]",,belum_diperiksa_individual,False,di_luar_periode_2025_2026; sebelum_peluncuran_nasional,29876794,2026-09-18
W29876794-r163c6,13 Januari 2025,2025-01-13,2025,1,tanggal,Kalimantan Utara,Nunukan,SDN 003 Nunukan Selatan,29 Siswa,29,angka_literal,1,1,https://regional.kompas.com/read/2025/01/17/133943478/puluhan-anak-sd-di-nunukan-keracunan-mbg-begini-penjelasan-penyedia-menu,"[""https://regional.kompas.com/read/2025/01/17/133943478/puluhan-anak-sd-di-nunukan-keracunan-mbg-begini-penjelasan-penyedia-menu"", ""https://web.archive.org/web/20250312155351/https://regional.kompas.com/read/2025/01/17/133943478/puluhan-anak-sd-di-nunukan-keracunan-mbg-begini-penjelasan-penyedia-menu""]",,belum_diperiksa_individual,True,,29876794,2026-09-18
W29876794-r164c6,13 Januari 2025,2025-01-13,2025,1,tanggal,Kalimantan Utara,Nunukan,SMAN 2 Nunukan Selatan,> 30 Siswa,,batas_bukan_angka_pasti,1,1,https://regional.kompas.com/read/2025/01/19/094801178/siswa-sma-di-nunukan-juga-keracunan-mbg-lauk-tongkol-berulat,"[""https://regional.kompas.com/read/2025/01/19/094801178/siswa-sma-di-nunukan-juga-keracunan-mbg-lauk-tongkol-berulat"", ""https://web.archive.org/web/20250505070755/https://regional.kompas.com/read/2025/01/19/094801178/siswa-sma-di-nunukan-juga-keracunan-mbg-lauk-tongkol-berulat""]",,belum_diperiksa_individual,False,batas_bukan_angka_pasti,29876794,2026-09-18
W29876794-r213c6,14 Januari 2025,2025-01-14,2025,1,tanggal,Jawa Barat,Indramayu,TBA (Tidak Disebutkan),6 Siswa,6,angka_literal,1,1,https://www.kompas.com/jawa-barat/read/2025/09/27/130000188/9-daerah-di-jawa-barat-tertinggi-kasus-keracunan-mbg-korban-tembus?page=all#page2,"[""https://www.kompas.com/jawa-barat/read/2025/09/27/130000188/9-daerah-di-jawa-barat-tertinggi-kasus-keracunan-mbg-korban-tembus?page=all#page2""]",,belum_diperiksa_individual,True,,29876794,2026-09-18
W29876794-r355c6,16 Januari 2025,2025-01-16,2025,1,tanggal,Jawa Tengah,Sukoharjo,SDN Dukuh 03 Sukoharjo,50 Siswa,50,angka_literal,1,1,https://www.metrotvnews.com/read/kELCzjnn-puluhan-siswa-sdn-dukuh-03-sukoharjo-keracunan-usai-santap-makan-bergizi-gratis,"[""https://www.metrotvnews.com/read/kELCzjnn-puluhan-siswa-sdn-dukuh-03-sukoharjo-keracunan-usai-santap-makan-bergizi-gratis"", ""https://web.archive.org/web/20250505070804/https://www.metrotvnews.com/read/kELCzjnn-puluhan-siswa-sdn-dukuh-03-sukoharjo-keracunan-usai-santap-makan-bergizi-gratis""]",,belum_diperiksa_individual,True,,29876794,2026-09-18
W29876794-r185c6,19 Januari 2025,2025-01-19,2025,1,tanggal,Banten,Pandeglang,SDN 2 Alaswangi,28 Siswa,28,angka_literal,1,1,https://regional.kompas.com/read/2025/02/21/175529378/28-siswa-sd-di-pandeglang-alami-gejala-keracunan-usai-santap-mbg,"[""https://regional.kompas.com/read/2025/02/21/175529378/28-siswa-sd-di-pandeglang-alami-gejala-keracunan-usai-santap-mbg"", ""https://web.archive.org/web/20250222022850/https://regional.kompas.com/read/2025/02/21/175529378/28-siswa-sd-di-pandeglang-alami-gejala-keracunan-usai-santap-mbg""]",,belum_diperiksa_individual,True,,29876794,2026-09-18
W29876794-r473c6,20 Januari 2025,2025-01-20,2025,1,tanggal,Daerah Istimewa Yogyakarta,Kulon Progo,PAUD (Spesifik tidak disebutkan) | TK (Spesifik tidak disebutkan) | SD (Spesifik tidak disebutkan),104 Siswa,104,angka_literal,3,1,https://yogyakarta.kompas.com/read/2026/01/23/054238878/korban-keracunan-mbg-di-kulon-progo-capai-104-orang?page=all#page3,"[""https://yogyakarta.kompas.com/read/2026/01/23/054238878/korban-keracunan-mbg-di-kulon-progo-capai-104-orang?page=all#page3""]",,belum_diperiksa_individual,True,,29876794,2026-09-18
W29876794-r43c6,18 Februari 2025,2025-02-18,2025,2,tanggal,Sumatera Selatan,Empat Lawang,SD Negeri 7 Tebing Tinggi,8 Siswa,8,angka_literal,1,1,https://www.metrotvnews.com/play/KXyCQded-8-murid-sd-di-empat-lawang-diduga-keracunan-usai-santap-mbg,"[""https://www.metrotvnews.com/play/KXyCQded-8-murid-sd-di-empat-lawang-diduga-keracunan-usai-santap-mbg"", ""https://web.archive.org/web/20250305140649/https://www.metrotvnews.com/play/KXyCQded-8-murid-sd-di-empat-lawang-diduga-keracunan-usai-santap-mbg""]",,belum_diperiksa_individual,True,,29876794,2026-09-18
W29876794-r687c6,18 Februari 2025,2025-02-18,2025,2,tanggal,Nusa Tenggara Timur,Sumba Timur,SDK Andaluri,29 Siswa,29,angka_literal,1,1,https://sumba.inews.id/read/558543/puluhan-siswa-sdk-andaluri-diduga-keracunan-usai-santap-menu-makan-bergizi-gratis,"[""https://sumba.inews.id/read/558543/puluhan-siswa-sdk-andaluri-diduga-keracunan-usai-santap-menu-makan-bergizi-gratis""]",,belum_diperiksa_individual,True,,29876794,2026-09-18
W29876794-r144c6,25 Februari 2025,2025-02-25,2025,2,tanggal,Kalimantan Barat,Kubu Raya,SDN 08 Sungai Raya,5 Siswa,5,angka_literal,1,1,https://pontianakpost.jawapos.com/kubu-raya/1465693199/siswa-sdn-08-sungai-raya-alami-keracunan-usai-makan-makanan-program-mbg-begini-penjelasan-disdikbud-kubu-raya,"[""https://pontianakpost.jawapos.com/kubu-raya/1465693199/siswa-sdn-08-sungai-raya-alami-keracunan-usai-makan-makanan-program-mbg-begini-penjelasan-disdikbud-kubu-raya""]",,belum_diperiksa_individual,True,,29876794,2026-09-18
